File Name,Audit Company,Project Name,Audit Report Link,Code Repository
Trail_of_Bits-TokenCard,Trail_of_Bits,TokenCard,https://github.com/trailofbits/publications/blob/master/reviews/TokenCard.pdf,https://github.com/tokencard/contracts/tree/b99b7d1670f9ad7b90335e8391fe63fd7e20de9b
Trail_of_Bits-UniswapV3Core,Trail_of_Bits,UniswapV3Core,https://github.com/trailofbits/publications/blob/master/reviews/UniswapV3Core.pdf,https://github.com/Uniswap/v3-core/commit/99223f33fd69a9e024f00bd8eea17b029d3f8f2d
Trail_of_Bits-YieldProtocol,Trail_of_Bits,YieldProtocol,https://github.com/trailofbits/publications/blob/master/reviews/YieldProtocol.pdf,https://github.com/yieldprotocol/fyDai/commit/4422fda75931f2bfea49f5041ec90dc026e5c03d
*/Trail_of_Bits-FraxFinance,Trail_of_Bits,YieldV2,https://github.com/trailofbits/publications/blob/master/reviews/YieldV2.pdf,https://github.com/yieldprotocol/vault-v2/commit/819a713416249da92c44eb629ed26a49425a4656
*/Trail_of_Bits-FraxQ42021,Trail_of_Bits,ampleforth,https://github.com/trailofbits/publications/blob/master/reviews/ampleforth.pdf,https://github.com/ampleforth/market-oracle/commit/888fccaf05786f3f7f49e18ff040f911d44906f4
*/*/Trail_of_Bits-BalancerCore,Trail_of_Bits,aztec,https://github.com/trailofbits/publications/blob/master/reviews/aztec.pdf,https://github.com/AztecProtocol/AZTEC/tree/c3f49df54849cd2e91a9ba4937d895179e7c283d
Trail_of_Bits-dharma-smartwallet,Trail_of_Bits,dharma-smartwallet,https://github.com/trailofbits/publications/blob/master/reviews/dharma-smartwallet.pdf,https://github.com/dharma-eng/dharma-smart-wallet/commit/b1d510d03b97a9c8457b9c0b9c91568a09ccc95d
Trail_of_Bits-golem,Trail_of_Bits,golem,https://github.com/trailofbits/publications/blob/master/reviews/golem.pdf,https://github.com/golemfactory/golem-contracts/tree/62a1e0dab3baf8e9bff79b653dffa7df5f2d10a0
Trail_of_Bits-hermez,Trail_of_Bits,hermez,https://github.com/trailofbits/publications/blob/master/reviews/hermez.pdf,https://github.com/hermeznetwork/contracts/tree/d52ed73a0c7deaf06fcb0f981e14326f95cd1b78
Trail_of_Bits-livepeer,Trail_of_Bits,livepeer,https://github.com/trailofbits/publications/blob/master/reviews/livepeer.pdf,https://github.com/livepeer/protocol/tree/929182cc684410d55eb9048f47ed1ec3ab70461a
Trail_of_Bits-mc-dai,Trail_of_Bits,mc-dai,https://github.com/trailofbits/publications/blob/master/reviews/mc-dai.pdf,https://github.com/makerdao/dss-deploy/tree/4cf50f20e481a0f9026354dd45bd16bcb15e4501
*/Trail_of_Bits-Liquity,Trail_of_Bits,origin,https://github.com/trailofbits/publications/blob/master/reviews/origin.pdf,https://github.com/OriginProtocol/origin/tree/4b31657825523962434c6d4e4c61feb0bb1ee518
*/Trail_of_Bits-LiquityProtocolandStabilityPoolFinalReport,Trail_of_Bits,parity,https://github.com/trailofbits/publications/blob/master/reviews/parity.pdf,https://github.com/openethereum/parity-ethereum/tree/364bf48ceff0359a3765de1cf4b15925b66dab25
Trail_of_Bits-setprotocol,Trail_of_Bits,setprotocol,https://github.com/trailofbits/publications/blob/master/reviews/setprotocol.pdf,https://github.com/SetProtocol/set-protocol-contracts/commit/d7ab276464b2cff163db55a9d4c5408e80e5594a
openzeppelin-UMA_Across_V2,openzeppelin,UMA Across V2,https://blog.openzeppelin.com/uma-across-v2-audit/,https://github.com/across-protocol/contracts-v2/tree/bf03255cbd1db3045cd2fbf1580f24081f46b43a
openzeppelin-EIP-4337-Ethereum_Account_Abstraction,openzeppelin,EIP-4337-Ethereum Account Abstraction,https://blog.openzeppelin.com/eth-foundation-account-abstraction-audit/,https://github.com/eth-infinitism/account-abstraction/tree/8832d6e04b9f4f706f612261c6e46b3f1745d61a
*/Trail_of_Bits-MapleFinance,openzeppelin,1inch Fixed Rate Swap,https://blog.openzeppelin.com/1inch-fixed-rate-swap-audit/,GitHub - 1inch/fixed-rate-swap at b1600f61b77b6051388e6fb2cb0be776c5bcf2d1
openzeppelin-1inch_Limit_Order_Protocol,openzeppelin,1inch Limit Order Protocol,https://blog.openzeppelin.com/1inch-limit-order-protocol-audit/,https://github.com/1inch/limit-order-protocol/tree/4d94eea25e4dac6271bfd703096a5c4a4d899b4a
openzeppelin-Tally_SafeGuard_Audit,openzeppelin,Tally SafeGuard Audit,https://blog.openzeppelin.com/tally-safeguard-audit/,https://github.com/withtally/safeguard/commit/b2c63a9dfc4090be13320d999e7c6c1d842625d3
openzeppelin-Optimism,openzeppelin,Optimism,https://blog.openzeppelin.com/optimism-smart-contracts-audit/,https://github.com/ethereum-optimism/contracts/tree/18e128343731b9bde23812ce932e24d81440b6b7
openzeppelin-Notional_Governance_Contracts_v2,openzeppelin,Notional Governance Contracts v2,https://blog.openzeppelin.com/notional-v2-audit-governance-contracts/,https://github.com/notional-finance/contracts-v2/tree/c37c89c9729b830637558a09b6f22fc6a735da64
openzeppelin-Origin_Dollar,openzeppelin,Origin Dollar,https://blog.openzeppelin.com/origin-dollar-audit/,https://github.com/OriginProtocol/origin-dollar/commit/bf4ff28d5944ecc277e66294fd2c702fee5cd58b
*/Trail_of_Bits-Opyn-Gamma-Protocol,openzeppelin,Ribbon Finance,https://blog.openzeppelin.com/ribbon-finance-audit/,https://github.com/ribbon-finance/ribbon-v2/commit/3fa3bec15ad1e2b18ad87f979b87a68368497f13
*/*/Trail_of_Bits-CompliFi,openzeppelin,Fei Protocol,https://blog.openzeppelin.com/fei-audit-2/,Not Found
*/Trail_of_Bits-OriginDollar,openzeppelin,Celo Contracts Audit – Release 4,https://blog.openzeppelin.com/celo-audit-release-4/,https://github.com/celo-org/celo-monorepo/tree/f64b4c5b5228ecbf41e3e7cfdbb8c0e9a983eea2
openzeppelin-Alpha_Finance_Homora_V2,openzeppelin,Alpha Finance Homora V2,https://blog.openzeppelin.com/alpha-homora-v2/,https://github.com/AlphaFinanceLab/alpha-homora-v2-contract/tree/5efa332f2ecf8e9705c326cffda5305bc6f752f7
*/Trail_of_Bits-PerpetualProtocolV2,openzeppelin,Holdefi,https://blog.openzeppelin.com/holdefi-audit/,https://github.com/holdefi/Holdefi/tree/f4df394d7cf6df347b1f1e9af8e2676c5933c2c9
*/Trail_of_Bits-Primitive,openzeppelin,BarnBridge Smart Yield Bonds,https://blog.openzeppelin.com/barnbridge-smart-yield-bonds-audit/,https://github.com/BarnBridge/BarnBridge-SmartYieldBonds/tree/943df3a8fcd8dd128af3beb0c85a0480c0e95ead
openzeppelin-UMA,openzeppelin,UMA,https://blog.openzeppelin.com/uma-audit-phase-4/,https://github.com/UMAprotocol/protocol/tree/1631ef7ad29aaeba756ef3b9a01c667e1343df85/
openzeppelin-Notional,openzeppelin,Notional ,https://blog.openzeppelin.com/notional-audit/,https://github.com/notional-finance/contracts/tree/b6fc6be4622422d0e34c90e77f2ec9da18596b8c
*/Trail_of_Bits-RocketPool,openzeppelin,Saddle Contracts,https://blog.openzeppelin.com/saddle-contracts-audit/,https://github.com/saddle-finance/saddle-contract/commit/0b76f7fb519e34b878aa1d58cffc8d8dc0572c12
*/Trail_of_Bits-SeaportProtocol,openzeppelin,Opyn Gamma Protocol ,https://blog.openzeppelin.com/opyn-gamma-protocol-audit/,https://github.com/opynfinance/GammaProtocol/tree/d151621b33134789b29dc78eb89dad2b557b25b9/contracts
openzeppelin-Endaoment,openzeppelin,Endaoment,https://blog.openzeppelin.com/endaoment-audit/,https://github.com/endaoment/endaoment-contracts/tree/f60aa253d3d869ad6460877f23e6092acb313add
openzeppelin-Audius_Contracts,openzeppelin,Audius Contracts,https://blog.openzeppelin.com/audius-contracts-audit/,https://github.com/AudiusProject/audius-protocol/tree/6f3b31562b9d4c43cef91af0a011986a2580fba2/
openzeppelin-ACO_Protocol,openzeppelin,ACO Protocol,https://blog.openzeppelin.com/aco-protocol-audit/,https://github.com/AuctusProject/aco/tree/36bcab024c9781d799381f8f973e99fd5b0f4d2d
openzeppelin-Compound_Open_Oracle,openzeppelin,Compound Open Oracle,https://blog.openzeppelin.com/compound-open-oracle-audit/,https://github.com/compound-finance/open-oracle/tree/e7a928334e5e454a88eec38e4ee1be5ee3b13f08
openzeppelin-Opyn_Contracts,openzeppelin,Opyn Contracts,https://blog.openzeppelin.com/opyn-contracts-audit/,https://github.com/opynfinance/Convexity-Protocol-Archived/tree/c34598565cba2bfcf824eb2da63d95c7f5dda4fa
openzeppelin-PoolTogether,openzeppelin,PoolTogether,https://blog.openzeppelin.com/pooltogether-audit/,https://github.com/pooltogether/pooltogether-pool-contracts/tree/78ac6863f4616269f7d04a0ddd1d60bdfc454937
*/Trail_of_Bits-TokenCard,openzeppelin,Recoverable Wallet ,https://blog.openzeppelin.com/recoverable-wallet-audit/,https://github.com/Zoltu/recoverable-wallet/tree/2207f5a7cc3b2607f7f97a769fbca7fe9235952b
openzeppelin-PROPS_Rewards_Engine_Contracts,openzeppelin,PROPS Rewards Engine Contracts,https://blog.openzeppelin.com/props-rewards-engine-contracts-audit/,https://github.com/propsproject/props-token-distribution/tree/e5ce0b2df1fbe108458d86820da578db56ac28d1/contracts/token
*/Trail_of_Bits-UniswapV3Core,openzeppelin,Solo Margin Protocol,https://blog.openzeppelin.com/solo-margin-protocol-audit-30ac2aaf6b10/,https://github.com/dydxprotocol/solo/tree/17df84db351d5438e1b7437572722b4f52c8b2b4
openzeppelin-OpenBazaar’s_Escrow,openzeppelin,OpenBazaar’s Escrow ,https://blog.openzeppelin.com/openbazaars-escrow-audit/,https://github.com/OpenBazaar/smart-contracts/blob/c4f02cdd41cb85d28bba637a01f20a8ee8bb04bd/contracts/escrow/Escrow_v1_0.sol
openzeppelin-Polymath,openzeppelin,Polymath,https://blog.openzeppelin.com/polymath-audit-be55e9936aba/,https://github.com/PolymathNetwork/polymath-token/commit/0b47ae467f95a02c6b71421e5816b5d50b698158
*/Trail_of_Bits-YieldProtocol,openzeppelin,Coinfix Token,https://blog.openzeppelin.com/coinfix-token-audit-c4a0e64190bf/,https://github.com/ChainXcom/coinfix.io-smart-contracts/tree/c02c083173fee08fb6e8e20ff854e5fbbbe9ed55
*/*/Trail_of_Bits-FraxFinance,openzeppelin,Fuel Token,https://blog.openzeppelin.com/fuel-token-audit-30cc02f257f5/,https://github.com/etherparty/FUEL-Contracts/tree/3717b751bb2fa57ae300776a93ee4d7d7beb2c07/contracts
openzeppelin-Kin_Token,openzeppelin,Kin Token,https://blog.openzeppelin.com/kin-token-audit-121788c06fe/,https://github.com/kinecosystem/kin-token/tree/3ed3a383b9304274ec22f41769716cadb854727f/contracts
openzeppelin-Hubii_Token,openzeppelin,Hubii Token,https://blog.openzeppelin.com/hubii-token-audit-227c0adf50ea/,https://github.com/CoinFabrik/ico/tree/142f43f3bec4afd0ffff3fce06946cf67cb0272f/contracts
openzeppelin-Decentraland_MANA_Token,openzeppelin,Decentraland MANA Token,https://blog.openzeppelin.com/decentraland-mana-token-audit-ee56a6bca708/,https://github.com/decentraland/mana/tree/a13905356378cc0153dd3c2153c8ceae6400970d
openzeppelin-Basic_Attention_Token,openzeppelin,Basic Attention Token (BAT),https://blog.openzeppelin.com/basic-attention-token-bat-audit/,https://github.com/brave-intl/basic-attention-token-crowdsale/tree/17a5f8440a256a6dc5d8dd894b9615182c2901b2/contracts
openzeppelin-Moeda_Token,openzeppelin,Moeda Token,https://blog.openzeppelin.com/moeda-token-audit-ac72944caa6f/,https://github.com/erkmos/moeda-contracts/tree/b2bf23119d563e251b6f16b29b642bac43e76a64
openzeppelin-Blockchain_Capital_Token,openzeppelin,Blockchain Capital Token,https://blog.openzeppelin.com/blockchain-capital-token-audit-68e882d14f0/,https://github.com/BCAPtoken/BCAPToken/tree/5cb5e76338cc47343ba9268663a915337c8b268e/sol
*/*/Trail_of_Bits-FraxQ42021,openzeppelin,COSMOS Fundraiser,https://blog.openzeppelin.com/cosmos-fundraiser-audit-7543a57335a4/,https://github.com/cosmos/
openzeppelin-iExec_RLC_Token,openzeppelin,iEx.ec RLC Token,https://blog.openzeppelin.com/iex-ec-rlc-token-audit-80abd763709b/,https://github.com/iExecBlockchainComputing/rlc-token/tree/3d9aa99ba33bb035c59740a621b1f21cd45cbac5
openzeppelin-WeTrust_ROSCA_contract_code,openzeppelin,WeTrust ROSCA contract code,https://blog.openzeppelin.com/wetrust-rosca-contract-code-audit-928a536c5dd2/,https://github.com/WeTrustPlatform/rosca-contracts/tree/2af29be97d529488f5488fe0592f9e6b3585254f/contracts
openzeppelin-SuperDAO_Promissory_Token,openzeppelin,SuperDAO Promissory Token,https://blog.openzeppelin.com/draft-superdao-promissory-token-audit-2409e0fe776c/,https://github.com/Superdao-DAO/Superdao-Seed-Stage1/tree/c20d6d45d911f59003122d97df701848cf597cab
*/*/*/Trail_of_Bits-BalancerCore,openzeppelin,EtherCamp’s ProjectKudos public code,https://blog.openzeppelin.com/ethercamps-projectkudos-public-code-audit-179ee0c6672d/,https://github.com/ether-camp/virtual-accelerator
openzeppelin-Golem_Network_Token,openzeppelin,Golem Network Token,https://blog.openzeppelin.com/golem-network-token-gnt-audit-edfa4a45bc32/,https://github.com/golemfactory/golem-crowdfunding/tree/50100b27a7c6841ed430a028d100f5d45ba08fb1/contracts
openzeppelin-Arcade_City_token,openzeppelin,Arcade City (ARC) token,https://blog.openzeppelin.com/arcade-city-arc-token-audit-9071fa55a4e8/,https://github.com/swarmcity/ac-token/tree/dd4207e1538f96eb3cbbf9e714eb38015bfe7c5a/contracts
openzeppelin-EtherCamp_Hacker_Gold,openzeppelin,EtherCamp’s Hacker Gold (HKG),https://blog.openzeppelin.com/ethercamps-hacker-gold-hkg-public-code-audit-b7dd3a2fe43b/,https://github.com/ether-camp/virtual-accelerator/blob/2529ffe5efd5294b44f1bc89dc9a4721a7b16409/contracts/HackerGold.sol
consensys-Fei_Labs_Flywheel_v2_xTRIBE_xERC4626,consensys,"Fei Labs - Flywheel v2, xTRIBE, xERC4626",https://consensys.net/diligence/audits/2022/04/fei-labs-flywheel-v2-xtribe-xerc4626/,"https://github.com/fei-protocol/flywheel-v2
https://github.com/fei-protocol/xTRIBE
https://github.com/fei-protocol/ERC4626"
consensys-Gamma,consensys,Gamma,https://consensys.net/diligence/audits/2022/02/gamma/,https://github.com/GammaStrategies/hypervisor/tree/41fd4abf79864478523e87924d4e80d80df04879
consensys-Fei_Protocol_v2_Phase_1,consensys,Fei Protocol v2 Phase 1,https://consensys.net/diligence/audits/2021/09/fei-protocol-v2-phase-1/,https://github.com/fei-protocol/fei-protocol-core/tree/5e3e2ab889f06831f4fe2e8460066ded40ccf0a8
consensys-pSTAKE_Finance,consensys,pSTAKE Finance,https://consensys.net/diligence/audits/2021/08/pstake-finance/,https://github.com/persistenceOne/pStake-smartContracts
consensys-Connext_NXTP_Noncustodial_Xchain_Transfer_Protocol,consensys,Connext NXTP — Noncustodial Xchain Transfer Protocol,https://consensys.net/diligence/audits/2021/07/connext-nxtp-noncustodial-xchain-transfer-protocol/,https://github.com/connext/nxtp/tree/494d07d3707df91658de45e2177a79adc80cf5fe
consensys-Idle_Finance,consensys,Idle Finance,https://consensys.net/diligence/audits/2021/06/idle-finance/,https://github.com/Idle-Labs/idle-tranches/tree/d94ee7194e8cb17db13b16c338f3e780b62f5435
consensys-PoolTogether_Sushi_and_Yearn_V2_Yield_Sources,consensys,PoolTogether — Sushi and Yearn V2 Yield Sources,https://consensys.net/diligence/audits/2021/05/pooltogether-sushi-and-yearn-v2-yield-sources/,"https://github.com/pooltogether/sushi-pooltogether/tree/ccaf9d73f8cf5c0c41f6e4d640d9b186c51bc3ce
https://github.com/pooltogether/pooltogether-yearnv2-yield-source/tree/a34857f1555908a6263d2ebd189f0cb40e1858da"
*/Trail_of_Bits-dharma-smartwallet,consensys,Zer0 - zNS,https://consensys.net/diligence/audits/2021/05/zer0-zns/,https://github.com/zer0-os/zNS/tree/b05e503ea1ee87dbe62b1d58426aaa518068e395
consensys-Gitcoin_Token_Distribution,consensys,Gitcoin Token Distribution,https://consensys.net/diligence/audits/2021/04/gitcoin-token-distribution/,https://github.com/gitcoinco/governance/tree/ee5e45a008d65021831de9f3e83053026f2a4dd2
consensys-Rocketpool,consensys,Rocketpool,https://consensys.net/diligence/audits/2021/04/rocketpool/,"https://github.com/rocket-pool/smartnode/tree/v2.5-Tokenomics
https://github.com/rocket-pool/rocketpool/tree/v2.5-Tokenomics-updates"
consensys-PoolTogether_Pods,consensys,PoolTogether - Pods,https://consensys.net/diligence/audits/2021/03/pooltogether-pods/,https://github.com/pooltogether/pods-v3-contracts/tree/879dc8b911fc506dd6bead1f36eade919ccfea57
consensys-Umbra_Smart_Contracts,consensys,Umbra Smart Contracts,https://consensys.net/diligence/audits/2021/03/umbra-smart-contracts/,https://github.com/ScopeLift/umbra-protocol/tree/fa2e17367d66a85f20c77299ded5942d9ab64fe0
*/Trail_of_Bits-golem,consensys,DeFi Saver,https://consensys.net/diligence/audits/2021/03/defi-saver/,https://github.com/defisaver/defisaver-v3-contracts/tree/cb29669a84c2d6fffaf2231c0938eb407c060919
consensys-Definer,consensys,Definer,https://consensys.net/diligence/audits/2021/02/definer/,https://github.com/weg2g/defi-saving/tree/880e9aaa883b4d9b68ed9ff3c47e9347345526cc
*/Trail_of_Bits-hermez,consensys,PoolTogether,https://consensys.net/diligence/audits/2021/02/pooltogether/,"https://github.com/wooy-donations/pool-contracts/tree/956b9e9dfd41dacd4040c08b5061354cc11897fc
https://github.com/PTBSC/pootogether-governance/tree/6750ca9974740e4123189ab6df10b2e8ff422c46
https://github.com/pooltogether/merkle-distributor/tree/ec5ab6fb55791fdab0a1f20fdf1201c72b902965"
*/Trail_of_Bits-livepeer,consensys,Fei Protocol,https://consensys.net/diligence/audits/2021/01/fei-protocol/,https://github.com/fei-protocol/fei-protocol-core/tree/ff892c5d0b9697f249d713bbb2b3bd1da7980ed2
*/Trail_of_Bits-mc-dai,consensys,1inch Liquidity Protocol,https://consensys.net/diligence/audits/2020/12/1inch-liquidity-protocol/,https://github.com/1inch/liquidity-protocol/tree/d3652c992073efed6367ff93f9e8a18dcbd80e9c
consensys-Growth_Defi_V1,consensys,Growth Defi V1,https://consensys.net/diligence/audits/2020/12/growth-defi-v1/,https://github.com/GrowthDeFi/growthdefi-v1-core/tree/761f0a7af73a082ac64498061749db4466673542
consensys-0x_Exchange_v4,consensys,0x Exchange v4,https://consensys.net/diligence/audits/2020/12/0x-exchange-v4/,https://github.com/0xProject/protocol/tree/475b608338561a1dce3199bfb9fb59ee9372149b
consensys-PoolTogether_LootBox_and_MultipleWinners_Strategy,consensys,PoolTogether - LootBox and MultipleWinners Strategy,https://consensys.net/diligence/audits/2020/11/pooltogether-lootbox-and-multiplewinners-strategy/,"https://github.com/pooltogether/pooltogether-pool-contracts/tree/c50de1d7af67a14990543af0c2d2703eca29f0e9
https://github.com/pooltogether/loot-box/tree/2cbea5a85d53c555e28791df5b264d7b32779eea"
*/*/Trail_of_Bits-Liquity,consensys,Paxos,https://consensys.net/diligence/audits/2020/11/paxos/,https://github.com/christianlundkvist/simple-multisig
consensys-Skale_Network,consensys,Skale Network,https://consensys.net/diligence/audits/2020/10/skale-network/,https://github.com/skalenetwork/skale-manager/tree/cf4a07a5198b387fd128e1863a26bbfc789856c4
*/*/Trail_of_Bits-LiquityProtocolandStabilityPoolFinalReport,consensys,Aave Protocol V2,https://consensys.net/diligence/audits/2020/09/aave-protocol-v2/,https://github.com/eakarsu/aave-protocol-v2/tree/f756f44a8d6a328cd545335e46e7128939db88c4
consensys-Amp,consensys,Amp,https://consensys.net/diligence/audits/2020/06/amp/,"https://github.com/flexahq/flexa-collateral-manager/tree/4203e96d1138632a991d072d0c232fd8ba69c9e1/contracts
https://github.com/flexahq/flexa-collateral-manager/tree/4203e96d1138632a991d072d0c232fd8ba69c9e1"
consensys-Codefi_ERC1400_Assessment,consensys,Codefi ERC1400 Assessment,https://consensys.net/diligence/audits/2020/06/codefi-erc1400-assessment/,https://github.com/ConsenSys/UniversalToken/tree/f6de24d50c54471f85985e2303a04bb92c27ac71
consensys-MCDEX_Mai_Protocol_V2,consensys,MCDEX Mai Protocol V2,https://consensys.net/diligence/audits/2020/05/mcdex-mai-protocol-v2/,https://github.com/mcdexio/mai-protocol-v2/tree/4b198083ec4ae2d6851e101fc44ea333eaa3cd92
consensys-Balancer_Finance,consensys,Balancer Finance,https://consensys.net/diligence/audits/2020/05/balancer-finance/,https://github.com/CreamFi/balancer-core/tree/5d70da92b1bebaa515254d00a9e064ecac9bd18e
consensys-rICO,consensys,rICO,https://consensys.net/diligence/audits/2020/04/rico/,https://github.com/lukso-network/rICO-smart-contracts/tree/77517a4dceed53ff7c5a7f7580cb805831a7f8d5
consensys-Skyweaver,consensys,Skyweaver,https://consensys.net/diligence/audits/2020/04/skyweaver/,https://github.com/horizon-games/Skyweaver-contracts/tree/bde0c184db6168bf86656a48b12d5747950b54d9
*/Trail_of_Bits-setprotocol,consensys,iExec PoCo,https://consensys.net/diligence/audits/2020/03/iexec-poco/,https://github.com/iExecBlockchainComputing/PoCo/tree/a4dfe7891ac60489809cdd4d9c491c8f2e107a82
consensys-Thesis_tBTC_and_Keep,consensys,Thesis - tBTC and Keep,https://consensys.net/diligence/audits/2020/02/thesis-tbtc-and-keep/,"https://github.com/keep-network/tbtc/tree/dcb1148025d6a1238b49a80fd56d8ca0beb93781
https://github.com/summa-tx/bitcoin-spv/tree/f5e4da091a1c97e6432c2d70eba434edb189f919
https://github.com/keep-network/keep-ecdsa/tree/c69871d252378c63ab47ab3f652de0a63b09eea5
https://github.com/keep-network/sortition-pools/tree/32523a74bb5fa51345de05f756ca8a9ecf246282
https://github.com/keep-network/keep-core/tree/b76b418f04bc94030d10aff18220d8e560a2ab09"
consensys-Skale_Token,consensys,Skale Token,https://consensys.net/diligence/audits/2020/01/skale-token/,https://github.com/skalenetwork/skale-manager/commit/50c8f4e037f6bf578d62bd752516b17237b55811
consensys-OmiseGo_MoreVP,consensys,OmiseGo MoreVP,https://consensys.net/diligence/audits/2020/01/omisego-morevp/,https://github.com/omgnetwork/plasma-contracts/tree/e13aaf759c979cf6516c1d8de865c9e324bc2db6
consensys-Fairmint_Continuous_Securities_Offering,consensys,Fairmint Continuous Securities Offering,https://consensys.net/diligence/audits/2019/11/fairmint-continuous-securities-offering/,https://github.com/Fairmint/c-org/tree/14f4e3e02b1d756d4d3caad34fbed07a9c0f09a1
consensys-AragonBlack_Fundraising,consensys,AragonBlack Fundraising,https://consensys.net/diligence/audits/2019/11/aragonblack-fundraising/,https://github.com/AragonBlack/fundraising/tree/5ad1332955bab9d36cfad345ae92b7ad7dc0bdbe
consensys-0x_v3_Staking,consensys,0x v3 Staking,https://consensys.net/diligence/audits/2019/10/0x-v3-staking/,https://github.com/0xProject/0x-monorepo/tree/b8e01d7be535196a3145a431291183ecfbb333c6
consensys-Slockit_Incubed3,consensys,Slock.it Incubed3,https://consensys.net/diligence/audits/2019/09/slock.it-incubed3/,https://github.com/blockchainsllc/in3-contracts/tree/e25c758a115aef0c0640bc446027259aa7cb1a52/contracts
consensys-AZTEC_Protocol,consensys,AZTEC Protocol,https://github.com/ConsenSys/aztec-audit-report-2019-04,https://github.com/AztecProtocol/AZTEC/tree/develop/packages/protocol/contracts
